Company Name,Industry,Symbol,Price Deviation (5 D),LTP,ST,MT,LT,ST %,MT %,LT %
NMDC Steel Ltd.,Metals & Mining,NSLNISP,0.04738,51.4,31.1,31.1,31.1,39.494,39.494,39.494
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,0.0477,2340.7,2216.81,3890.47,241.79,5.293,-66.21,89.67
Atul Ltd.,Chemicals,ATUL,0.04797,7019.35,6868.89,9351.46,3038.41,2.144,-33.224,56.714
SRF Ltd.,Chemicals,SRF,0.0481,2261.7,2383.69,2185.04,377.5,-5.394,3.389,83.309
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,0.04835,474.75,337.43,223.96,267.21,28.925,52.826,43.716
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,0.0484,4146.0,2444.7,2178.28,1091.04,41.035,47.461,73.685
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,0.04875,5496.45,4450.84,4696.16,2455.84,19.023,14.56,55.32
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,0.04877,10680.75,8201.17,6738.5,8503.87,23.215,36.91,20.381
Trident Ltd.,Textiles,TRIDENT,0.04886,38.05,24.97,23.63,5.67,34.376,37.898,85.099
Bata India Ltd.,Consumer Durables,BATAINDIA,0.04903,1607.8,1388.55,1739.3,998.06,13.637,-8.179,37.924
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,0.04921,93.1,50.85,44.2,72.64,45.381,52.524,21.976
Graphite India Ltd.,Capital Goods,GRAPHITE,0.04944,490.5,254.4,583.98,763.1,48.135,-19.058,-55.576
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,0.04948,5277.5,3931.84,5062.05,4068.57,25.498,4.082,22.907
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,0.04948,1565.75,1237.8,1847.78,648.65,20.945,-18.012,58.573
JK Paper Ltd.,Forest Materials,JKPAPER,0.04957,394.4,360.87,230.97,152.76,8.502,41.438,61.268
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,0.04962,512.4,443.08,211.85,137.67,13.528,58.655,73.132
IDFC Ltd.,Financial Services,IDFC,0.0497,130.7,77.45,47.84,39.57,40.742,63.397,69.725
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,0.04979,93.0,75.93,80.93,55.0,18.355,12.978,40.86
Federal Bank Ltd.,Financial Services,FEDERALBNK,0.04985,150.55,124.52,79.82,74.23,17.29,46.981,50.694
Alkem Laboratories Ltd.,Healthcare,ALKEM,0.04985,3559.45,3212.52,3876.09,2000.78,9.747,-8.896,43.79
Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN,0.04989,132.2,108.2,122.6,103.87,18.154,7.262,21.43
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,0.05,1198.45,1180.82,895.72,431.72,1.471,25.26,63.977
Page Industries Ltd.,Textiles,PAGEIND,0.05001,38690.15,36991.0,32842.75,32152.57,4.392,15.113,16.897
Wipro Ltd.,Information Technology,WIPRO,0.05012,415.65,361.25,666.01,234.06,13.088,-60.233,43.688
Chalet Hotels Ltd.,Consumer Services,CHALET,0.05015,548.55,360.85,206.1,206.1,34.217,62.428,62.428
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,0.05018,135.6,95.94,45.44,83.94,29.248,66.49,38.097
Vedant Fashions Ltd.,Consumer Services,MANYAVAR,0.05044,1301.35,1092.73,1092.73,1092.73,16.031,16.031,16.031
ICICI Bank Ltd.,Financial Services,ICICIBANK,0.05055,943.1,834.87,701.11,319.84,11.476,25.659,66.086
Epigral Ltd.,Chemicals,EPIGRAL,0.05069,966.0,966.0,966.0,966.0,0.0,0.0,0.0
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR,0.05077,535.1,471.5,529.21,529.21,11.886,1.101,1.101
Grindwell Norton Ltd.,Capital Goods,GRINDWELL,0.05096,2031.8,1741.26,1378.15,490.29,14.3,32.171,75.869
Larsen & Toubro Ltd.,Construction,LT,0.05098,2965.05,2129.92,1727.79,1232.16,28.166,41.728,58.444
Rain Industries Ltd,Chemicals,RAIN,0.05119,163.75,144.97,224.24,185.02,11.469,-36.94,-12.989
Sterlite Technologies Ltd.,Telecommunication,STLTECH,0.0512,157.7,147.46,279.35,328.09,6.493,-77.14,-108.047
Godrej Properties Ltd.,Realty,GODREJPROP,0.05127,1580.35,1025.4,2199.3,682.95,35.116,-39.165,56.785
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,0.0513,256.3,236.3,265.13,180.25,7.803,-3.445,29.672
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,0.05136,438.05,287.7,105.81,56.01,34.323,75.845,87.214
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,0.05141,632.4,546.91,389.64,252.43,13.518,38.387,60.084
India Cements Ltd.,Construction Materials,INDIACEM,0.05147,232.55,172.0,185.16,113.36,26.037,20.378,51.253
Teamlease Services Ltd.,Services,TEAMLEASE,0.05172,2593.35,2293.4,4320.2,2550.65,11.566,-66.588,1.647
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,0.05174,291.55,204.81,136.16,174.27,29.751,53.298,40.226
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,0.05187,1892.4,1175.36,1308.52,1151.86,37.891,30.854,39.132
Polyplex Corporation Ltd.,Capital Goods,POLYPLEX,0.05188,1177.9,1158.56,1597.62,408.32,1.642,-35.633,65.335
Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC,0.05221,225.95,168.5,290.1,395.25,25.426,-28.391,-74.928
Engineers India Ltd.,Construction,ENGINERSIN,0.05221,145.3,71.16,68.62,100.64,51.025,52.774,30.736
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,0.05229,261.8,210.65,314.77,465.07,19.538,-20.233,-77.643
Lupin Ltd.,Healthcare,LUPIN,0.0523,1132.35,655.92,930.52,877.02,42.074,17.824,22.549
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,0.05249,1525.3,1240.14,1418.44,1517.08,18.695,7.006,0.539
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,0.05268,252.45,196.5,286.86,625.63,22.163,-13.63,-147.823
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,0.0527,287.5,265.85,305.14,174.92,7.53,-6.136,39.158
Greenpanel Industries Ltd.,Consumer Durables,GREENPANEL,0.05295,370.65,268.85,307.65,307.65,27.465,16.997,16.997
Lux Industries Ltd.,Textiles,LUXIND,0.05303,1503.95,1236.52,3698.22,1665.36,17.782,-145.9,-10.732
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,0.05303,2911.05,2501.48,4248.53,4248.53,14.069,-45.945,-45.945
Keystone Realtors Ltd.,Realty,RUSTOMJEE,0.0532,569.7,446.85,446.85,446.85,21.564,21.564,21.564
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,0.0532,287.5,245.15,183.75,146.23,14.73,36.087,49.137
Bank of India,Financial Services,BANKINDIA,0.05328,108.35,67.21,50.87,87.67,37.97,53.05,19.086
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,0.05333,878.9,543.89,866.75,748.7,38.117,1.382,14.814
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,0.05335,353.0,304.9,368.1,368.1,13.626,-4.278,-4.278
Kfin Technologies Ltd.,Financial Services,KFINTECH,0.05336,464.8,278.0,278.0,278.0,40.189,40.189,40.189
Redington Ltd.,Services,REDINGTON,0.05347,154.7,153.85,126.85,36.35,0.549,18.003,76.503
Sunteck Realty Ltd.,Realty,SUNTECK,0.05399,440.25,289.14,487.33,475.18,34.324,-10.694,-7.934
